NAME_OF_CHANNEL,VIDEOS_NUM,SUBSCRIBERS_NUM,VIEWS_NUM
MrBeast,799.0,274000000.0,50980000000.0
T-Series,21120.0,267000000.0,257160000000.00003
Cocomelon - Nursery Rhymes,1180.0,176000000.0,182880000000.0
SET India,138970.0,173000000.0,164710000000.0
✿ Kids Diana Show,1220.0,123000000.0,103500000000.0
Vlad and Niki,721.0,119000000.0,90940000000.0
Like Nastya,885.0,116000000.0,100900000000.0
PewDiePie,4770.0,111000000.0,29310000000.0
Zee Music Company,11220.0,107000000.0,66840000000.0
WWE,76610.0,102000000.0,84980000000.0
Goldmines,8550.0,97200000.0,29040000000.0
BLACKPINK,596.0,93900000.0,36020000000.0
Sony SAB,85720.0,92500000.0,115240000000.0
ChuChu TV Nursery Rhymes & Kids Songs,792.0,91300000.0,51030000000.0
Zee TV,175680.0,80700000.0,89410000000.0
5-Minute Crafts,7050.0,80700000.0,27390000000.0
BANGTANTV,2510.0,78100000.0,22970000000.0
Baby Shark - Pinkfong Kids’ Songs & Stories,3240.0,75300000.0,43810000000.0
HYBE LABELS,1850.0,74900000.0,34259999999.999996
Colors TV,151750.0,73000000.0,70940000000.0
Justin Bieber,249.0,73000000.0,32310000000.000004
Shemaroo Filmi Gaane,8580.0,68500000.0,29300000000.0
T-Series Bhakti Sagar,28010.0,67800000.0,34040000000.0
Canal KondZilla,2810.0,67099999.99999999,38290000000.0
Tips Official,5820.0,66200000.0,38830000000.0
Aaj Tak,365350.0,65200000.0,31730000000.0
El Reino Infantil,1480.0,64400000.00000001,60420000000.0
Stokes Twins,304.0,63300000.0,9280000000.0
Infobells - Hindi,674.0,62300000.0,36120000000.0
Wave Music,20150.0,62000000.0,42760000000.0
